Placename,Type,Coordinates,Latitude,Longitude,Description,Stars1_5,Notes
Viborg Sygehus,cultural moment,"56.4457328,9.4040269",56.4457328,9.4040269,Where I was born,5,
"Søndermarksvej 8, 8800 Viborg",homes,"56.4448791,9.3985731",56.4448791,9.3985731,My first home,5,
Baptism,cultural moment,"56.4482137,9.4318566",56.4482137,9.4318566,Baptism,5,
Daycare,education,"56.4409738,9.3905319",56.4409738,9.3905319,Daycare,5,
Kindergarden,education,"56.4438353,9.3984403",56.4438353,9.3984403,Kindergarten,5,
Vestre Skole,education,"56.452471,9.3956203",56.452471,9.3956203,Elementary school,2,
"Italy, Lago di Garda",travel,"45.5845447,10.7185345",45.5845447,10.7185345,First holiday in Italy,3,
"Croatia, Lanterna Camping",travel,"45.297046,13.5921923",45.297046,13.5921923,First holiday in Croatia,5,
"Trekronervej 128, 8800 Viborg",homes,"56.64414,9.5280533",56.64414,9.5280533,My second home ,3,
Møldrup Skole,education,"56.619154,9.4987307",56.619154,9.4987307,Second school,4,
Møldrup hallen,fun,"56.619154,9.4987307",56.619154,9.4987307,Playing handball,5,
Møldrup fodboldbaner,fun,"56.6196115,9.499066",56.6196115,9.499066,Playing football,2,
"Astrid Lindgrens Värld, Sverige",travel,"57.6742381,15.8404989",57.6742381,15.8404989,First time in Sweden,5,
"Disneyland, Paris, France",travel,"48.8673858,2.7814043",48.8673858,2.7814043,My first time in France,5,
"Cruise, Thera, Greece",travel,"36.4071334,25.3505909",36.4071334,25.3505909,My first cruise,5,
"Egypt, Hugarda",travel,"27.2567633,33.8282866",27.2567633,33.8282866,First time in Egypt,3,
Confirmation,cultural moment,"56.6702803,9.4851045",56.6702803,9.4851045,Confirmation,4,
Turkey,travel,"27.9466924,34.278713",27.9466924,34.278713,First time in Turkey,5,
Viborg Gymnasium,education,"56.463585,9.4487803",56.463585,9.4487803,High School,5,
Houlkær Bageri,fun,"56.463585,9.4487803",56.463585,9.4487803,Memories sharing pastry,5,
Jyske Bank,fun,"56.4494806,9.4032565",56.4494806,9.4032565,My first work,5,
Lidl,fun,"56.4449005,9.3891067",56.4449005,9.3891067,Job in gap year,2,
Maldives,travel,"3.1024749,68.7289458",3.1024749,68.7289458,Gap year,5,
Sri Lanka,travel,"7.8516994,78.4556509",7.8516994,78.4556509,Gap year,5,
Thailand,travel,"13.6111017,94.7508411",13.6111017,94.7508411,Gap year,4,
Qatar,travel,"25.2646811,51.5681529",25.2646811,51.5681529,Gap year,5,
"Australia, Jerrabomberra",homes,"-35.3801497,149.202997",-35.3801497,149.202997,Gap year / working abroad,5,
Perisher Valley,fun,"-36.4052829,148.3833114",-36.4052829,148.3833114,First (and last) time snowboarding,2,
New Zealand,travel,"-40.5748934,166.0173195",-40.5748934,166.0173195,Gap year,5,
Aarhus,homes,"56.1552965,10.1780741",56.1552965,10.1780741,Moved out from my parents and to Aarhus,5,
Aarhus University,education,"56.1724346,10.2033485",56.1724346,10.2033485,Started university,4,
Ikea ,fun,"56.2030018,10.1788538",56.2030018,10.1788538,Started job in Ikea,5,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
